,AD4,A,ECO1,SO6,DEV5,D,ECO3,SO8,SO5,STU4,STU2,ECO2,STU3,AD5,S,FA1,AD6,TT1,ECO5,STU1
44,3,1,2,2,2,1,2,3,3,3,2,2,2,3,1,3,3,2,3,2
45,2,5,2,4,1,2,2,3,3,3,5,2,3,3,5,1,2,5,2,3
46,4,4,3,3,3,4,2,4,3,4,4,5,4,4,3,4,4,2,2,4
47,4,3,4,3,4,3,4,4,4,2,4,4,4,4,5,4,4,3,3,4
48,5,4,4,2,5,4,3,4,4,4,5,4,5,4,5,4,4,4,4,4
49,5,2,5,4,4,2,5,4,4,4,4,5,4,5,5,5,5,4,4,4
50,3,2,1,3,3,3,3,3,2,3,4,3,4,3,4,4,2,4,1,2
51,3,4,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3
52,4,1,5,1,4,2,3,3,3,4,4,5,4,3,4,3,4,3,4,3
53,4,4,5,3,5,5,4,4,4,5,5,4,5,4,5,4,4,5,4,5
54,4,1,3,2,3,2,5,5,4,4,5,4,5,3,2,5,3,3,5,5
55,1,1,3,2,4,1,2,2,2,3,4,3,4,1,3,3,4,4,1,3
56,1,1,3,1,1,1,2,3,1,3,5,3,3,4,4,3,3,2,3,2
57,3,4,3,2,3,5,2,4,3,4,4,2,4,3,5,5,3,2,2,4
58,4,4,4,2,5,4,5,4,3,4,4,5,4,4,4,3,3,5,5,4
59,4,3,4,4,4,3,4,4,4,4,4,3,4,3,3,4,4,4,4,4
60,4,1,3,4,5,1,3,4,5,5,4,3,4,4,3,3,4,4,3,4
61,4,4,4,3,3,3,4,4,4,4,3,4,3,3,5,4,3,4,4,3
62,3,2,4,1,4,3,3,5,3,5,5,4,5,4,4,2,4,4,4,4
63,4,3,3,1,4,3,2,4,1,4,3,3,4,4,4,2,4,4,3,4
64,4,2,4,2,4,3,4,4,3,4,5,4,4,3,2,3,3,4,5,3
65,4,2,3,1,3,3,1,3,1,4,4,2,4,5,3,1,4,3,4,4
66,3,1,5,2,1,1,4,4,1,2,5,4,3,3,2,4,2,2,4,3
67,2,2,5,3,1,1,3,3,2,2,2,2,2,2,1,3,2,1,3,2
68,4,3,4,3,3,3,2,4,3,4,4,2,4,4,3,3,4,4,3,4
69,3,4,5,1,4,4,4,5,1,4,5,5,5,4,5,4,4,3,4,3
70,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5
71,1,5,1,1,1,5,4,1,1,1,4,1,1,4,5,1,1,1,1,1
72,4,2,4,1,3,2,2,3,3,3,3,3,4,3,2,3,4,3,3,4
73,4,3,3,2,3,3,4,4,3,3,3,4,3,4,4,4,3,3,3,4
74,3,1,3,2,4,1,4,4,3,4,4,4,4,4,2,3,4,4,4,4
75,4,2,5,2,4,1,4,2,2,4,4,5,4,2,4,2,2,4,3,3
76,4,3,2,3,3,4,2,3,2,2,3,2,3,3,5,4,3,2,1,2
77,4,4,4,5,4,4,5,4,4,4,4,5,4,3,5,2,4,4,4,5
78,4,4,3,3,4,5,4,3,3,3,4,4,4,3,5,3,3,4,4,4
79,4,5,5,2,2,2,5,5,5,5,5,5,4,5,5,3,2,5,5,4
80,3,3,2,3,2,3,3,3,3,3,3,3,2,2,5,3,4,3,2,2
81,4,5,1,3,1,2,1,2,1,3,4,3,1,5,4,5,5,5,5,4
82,5,5,4,1,5,5,5,4,2,5,5,5,5,5,5,5,5,5,5,4
83,4,4,2,2,4,5,1,3,3,4,3,3,3,3,3,3,4,3,3,4
84,2,1,3,3,3,2,1,2,1,3,4,3,3,2,2,2,1,2,1,3
85,4,3,4,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
86,3,3,3,3,4,4,3,4,4,3,3,3,3,4,4,3,3,5,3,4
87,4,2,2,2,3,2,2,4,5,4,4,4,4,4,4,4,4,2,2,5
88,4,4,2,1,4,4,1,4,2,4,4,1,4,2,3,2,3,4,1,4
89,3,2,4,4,3,2,4,5,5,4,5,4,5,2,3,2,2,3,5,4
90,4,2,5,4,3,1,4,4,4,4,4,4,5,4,4,2,4,4,5,4
91,4,4,5,3,4,3,5,4,3,4,4,5,5,5,5,2,4,5,5,4
92,4,1,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4
93,2,3,4,2,2,1,5,4,3,4,5,5,4,4,2,4,3,3,5,4
94,3,3,3,1,4,4,3,4,2,3,5,3,4,4,3,3,4,4,3,4
95,4,3,5,3,3,1,4,3,3,3,3,3,3,3,2,3,4,3,3,3
96,4,4,2,5,5,3,2,5,5,3,4,2,4,3,4,3,3,5,3,4
97,3,3,4,1,4,2,3,4,1,3,4,3,2,4,4,4,3,4,3,4
98,4,1,4,4,4,1,4,4,4,4,4,3,4,4,4,4,4,4,4,4
99,5,4,5,2,3,3,4,4,4,5,5,4,5,3,5,4,4,4,4,4
100,4,1,5,4,4,1,5,4,3,4,3,5,3,4,3,4,5,2,4,3
101,3,4,3,3,4,2,2,4,4,4,4,4,3,3,5,1,3,4,2,4
102,4,5,5,3,4,5,5,4,4,5,5,5,5,4,5,3,4,5,4,4
103,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
104,3,2,4,2,3,3,3,4,3,4,3,4,4,4,2,3,3,3,4,3
105,2,1,1,2,1,2,1,1,2,3,1,1,3,3,1,1,4,1,1,1
106,4,1,4,1,1,1,3,5,1,4,4,3,4,5,3,4,3,2,1,3
107,4,1,3,1,2,2,2,4,2,4,3,2,4,4,3,2,4,2,2,3
108,2,4,1,4,4,3,2,5,3,4,5,4,4,3,5,2,2,3,3,4
109,4,4,2,4,4,4,2,4,4,2,2,2,4,3,5,2,4,3,3,3
110,2,1,5,4,1,1,3,2,5,3,2,4,2,3,2,3,2,4,2,2
111,3,4,4,4,3,2,2,2,4,3,4,4,3,2,4,1,4,2,4,3
112,3,1,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3
113,3,1,3,3,3,1,2,3,3,3,3,4,3,3,2,3,3,3,4,3
114,3,3,2,1,2,3,3,4,3,4,5,4,4,4,3,4,4,5,3,5
115,2,1,1,2,2,1,1,1,2,2,2,1,4,1,1,3,2,2,1,2
116,4,2,2,1,4,1,1,3,2,5,5,2,5,4,5,3,4,5,1,4
117,4,1,4,1,1,1,3,5,1,4,5,4,5,2,2,4,5,1,2,1
118,3,1,1,1,1,1,1,1,1,1,5,1,1,3,1,3,3,1,1,5
119,3,1,3,3,3,1,4,4,4,4,4,3,3,2,2,2,3,3,4,3
120,4,1,3,1,4,2,4,4,1,5,5,5,5,4,1,4,3,4,4,3
121,5,1,1,2,4,1,2,4,4,2,5,1,5,4,1,2,5,2,1,4
122,5,5,3,1,4,5,3,5,1,5,5,3,5,5,5,3,5,5,2,5
123,4,3,2,3,3,3,3,3,4,3,4,2,4,4,5,2,4,3,4,4
124,4,4,4,2,3,4,4,3,2,3,3,4,3,3,5,3,2,3,4,3
125,4,3,4,2,2,1,4,4,3,3,4,4,4,4,4,4,4,4,4,4
126,4,3,4,3,4,4,4,3,3,3,4,3,3,4,5,4,4,4,3,3
